Theoretical Maximum (only face detection),,,,,Resnet 18,,,,,Resnet 50 ,,,,,Resnet 101,,,,
Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,,Time taken  ,Frame count ,FPS,Has classified,
5.450022221,0,0.917427452,classifcation,,11.94190073,0,0.418693817,classifcation,,14.01707268,0,0.35670786,classifcation,,16.71751857,0,0.29908745,classifcation,
0.638389111,5,7.832213798,classifcation,,0.755602598,5,6.617235054,classifcation,,1.002916574,5,4.985459536,classifcation,,1.176309824,5,4.25058084,classifcation,
0.630077362,10,7.935533477,classifcation,,0.766576052,10,6.522510048,classifcation,,0.973290443,10,5.137212673,classifcation,,1.136906147,10,4.397900401,classifcation,
0.648141861,15,7.714360545,classifcation,,0.762290001,15,6.559183505,classifcation,,0.98743701,15,5.063614135,classifcation,,1.142449141,15,4.376562442,classifcation,
0.628764629,20,7.952101258,classifcation,,0.777603388,20,6.430013138,classifcation,,0.978818178,20,5.108201003,classifcation,,1.175938606,20,4.251922654,classifcation,
0.610203266,25,8.193990884,classifcation,,0.781760216,25,6.39582304,classifcation,,0.959784031,25,5.209505304,classifcation,,1.159177065,25,4.313404873,classifcation,
0.651170969,30,7.67847499,classifcation,,0.776339293,30,6.44048298,classifcation,,0.991151571,30,5.044637112,classifcation,,1.176290512,30,4.250650625,classifcation,
0.625782728,35,7.989993611,classifcation,,0.746790171,35,6.695321117,classifcation,,0.982818127,35,5.087411256,classifcation,,1.157600641,35,4.319278879,classifcation,
0.648974657,40,7.7044611,classifcation,,0.763641596,40,6.547574186,classifcation,,1.008309126,40,4.958796734,classifcation,,1.156358957,40,4.323916867,classifcation,
0.633973598,45,7.886763758,classifcation,,0.736526966,45,6.788617702,classifcation,,0.963962317,45,5.186924753,classifcation,,1.144004583,45,4.37061186,classifcation,
0.628516912,50,7.955235414,classifcation,,0.769302607,50,6.499393031,classifcation,,0.968872786,50,5.160636231,classifcation,,1.15013814,50,4.347303882,classifcation,
0.64076066,55,7.80322562,classifcation,,0.769969702,55,6.493762012,classifcation,,0.97033453,55,5.152862076,classifcation,,1.164126396,55,4.295066254,classifcation,
0.644040108,60,7.763491652,classifcation,,0.764231205,60,6.542522691,classifcation,,0.96343565,60,5.189760209,classifcation,,1.164792061,60,4.292611676,classifcation,
0.635556221,65,7.86712463,classifcation,,0.746498823,65,6.697934203,classifcation,,0.974679232,65,5.129892828,classifcation,,1.178515673,65,4.242624953,classifcation,
0.624076128,70,8.011843068,classifcation,,0.775722742,70,6.445601925,classifcation,,0.969231606,70,5.158725708,classifcation,,1.154280663,70,4.331702126,classifcation,
0.634388447,75,7.881606333,classifcation,,0.742764473,75,6.731608985,classifcation,,0.953407049,75,5.244349729,classifcation,,1.16218257,75,4.302250035,classifcation,
